Question,Answer,Explanation,Paraphrase 1,Paraphrase 2,Paraphrase 3,Difficulty Level,Hint
What is the difference between a linear search and a binary search?,"Linear search scans through all elements sequentially until it finds the target value, while binary search divides the search space in half at each step.","Binary search is generally more efficient than linear search, especially for large sorted arrays.",Binary search divides the search space in half at each step while linear search sequentially scans through all items until it locates the desired value.,"Binary search divides the search space in half at each step, whereas linear search goes through each element one by one until it locates the desired value.","Binary search divides the search space in half at each stage, whereas linear search systematically scans over each element until it locates the desired value.",Easy,"One checks each item, the other halves the options."
What is the purpose of Big O notation?,Big O notation is used to describe the upper bound or worst-case time complexity of an algorithm.,Big O notation provides a standardized way to compare algorithms and analyze their scalability.,The upper bound or worst-case time complexity of an algorithm is expressed using the Big O notation.,"The worst-case temporal complexity of an algorithm, or its upper bound, is expressed using the Big O notation.","The worst-case time complexity of an algorithm, expressed in Big O notation, is the upper bound.",Easy,It tells you how fast an algorithm grows.
What is a singly linked list?,A singly linked list is a linear data structure in which each node contains data and a reference (or link) to the next node in the sequence.,"Singly linked lists allow for efficient insertion and deletion at the beginning or end of the list, but accessing elements by index requires traversing the list from the beginning.",A singly linked list is a linear data structure in which each node has both a reference to the node after it in the sequence and data of its own.,A singly linked list is a linear data structure in which each node has information and a link to the node after it.,Each node in a singly linked list includes information and a link to the node after it in the sequence. This makes singly linked lists a type of linear data structure.,Easy,"Elements are in a line, and you can only move forward."
What is a doubly linked list?,A doubly linked list is a linear data structure in which each node contains data and references (or links) to both the next and previous nodes in the sequence.,"Doubly linked lists allow for efficient insertion and deletion at any position in the list, as well as traversal in both forward and backward directions.",Each node in a doubly linked list contains information as well as links to the nodes before and after it in the list's sequence.,"Each node in a doubly linked list has information as well as links to the nodes before and after it in the sequence, making it a type of linear data structure.","In a linear data structure known as a doubly linked list, each node includes information as well as links to the nodes before and after it.",Easy,"Elements are in a line, and you can move both forward and backward."
What is a circular linked list?,"A circular linked list is a variation of a linked list in which the last node points back to the first node, forming a circular structure.","Circular linked lists are useful in scenarios where continuous looping or circular operations are required, such as implementing a circular buffer.","The last node in a circular linked list points back to the initial node, creating a circular structure.","A circular linked list is a type of linked list where the final node points back to the first node, creating a circular structure.","The last node of a circular linked list points back to the beginning node, creating a circular structure.",Easy,A list that loops back to the start.
What is a stack?,"A stack is a linear data structure that follows the Last-In-First-Out (LIFO) principle, where the last element inserted is the first one to be removed."," Stacks are commonly used for function call management, expression evaluation, and undo mechanisms. They can be implemented using arrays or linked lists.","The last element inserted is the first one withdrawn in a stack, a linear data structure that adheres to the Last-In-First-Out (LIFO) principle.","A stack is a linear data structure that operates according to the Last-In-First-Out (LIFO) principle, which states that the element that was most recently introduced is also the first one to be withdrawn.","A stack is a type of linear data structure that operates on the Last-In-First-Out (LIFO) principle, according to which the element that was most recently input is the one that gets deleted first.",Easy,"Last in, first out – like a stack of books."
What is a queue?,"A queue is a linear data structure that follows the First-In-First-Out (FIFO) principle, where the first element inserted is the first one to be removed.","Queues are commonly used in scenarios such as task scheduling, process management, and breadth-first search algorithms. They can be implemented using arrays or linked lists.","The First-In-First-Out (FIFO) principle states that the first element added is also the first one withdrawn, and a queue is a linear data structure that adheres to this rule.","The first element inserted is the first one withdrawn in a queue, which is a linear data structure that adheres to the First-In-First-Out (FIFO) principle.","The First-In-First-Out (FIFO) principle dictates that the first element added is also the first one withdrawn in a queue, which is a linear data structure.",Easy,"First in, first out – like a waiting line."
What is a priority queue?,"A priority queue is a variation of a queue in which each element is assigned a priority, and elements with higher priorities are dequeued first.",Priority queues are often implemented using binary heaps or other advanced data structures to efficiently maintain the highest-priority element.,"Each member in a priority queue is given a priority, and the elements with higher priorities are removed from the queue first.",A priority queue is a kind of queue where each item has a priority and the items with higher priorities are the ones that are removed first.,"In a priority queue, each element has a priority assigned, and those with higher priorities are the first to be removed from the queue.",Easy,It's a list where important stuff goes first.
What is a tree?,"A tree is a hierarchical data structure composed of nodes, where each node can have child nodes connected by edges.","Trees are widely used in various applications, including hierarchical data representation, search algorithms, and organizing data in file systems.","A tree is a type of hierarchical data structure made up of nodes and edges, where each node can have one or more child nodes.","An edge connects each node of a tree, which is a hierarchical data structure made up of nodes that can each have child nodes.","A tree is a type of hierarchical data structure made up of nodes, where nodes are connected to one another by edges, and nodes can have children.",Easy,Imagine data organized like branches on a tree.
What is a binary tree?,"A binary tree is a type of tree in which each node has at most two children, commonly referred to as the left child and the right child.","Binary trees are used in binary search trees, expression trees, and various tree traversal algorithms like in-order, pre-order, and post-order traversal.","Each node in a binary tree, sometimes referred to as the left child and the right child, has a maximum of two children.","A binary tree is a particular kind of tree in which each node has a maximum of two offspring, known as the left child and the right child.","Known as the left child and the right child, a binary tree is a sort of tree in which each node has a maximum of two offspring.",Easy,A tree where each point has up to two connections.
What is a binary search tree (BST)?,"A binary search tree is a binary tree in which the left child of a node contains a smaller value, and the right child contains a larger value.","BSTs enable efficient searching, insertion, and deletion operations by utilizing the property of maintaining the sorted order of elements.","A binary search tree is a binary tree in which each node's left child has a smaller value than its right child, and vice versa.",A binary search tree is one in which a node's left child is a smaller value and its right child is a larger value.,"In a binary search tree, the right child of a node has a bigger value than the left child, which is referred to as the left child in a binary tree.",Easy,A tree that sorts data to the left and right.
What is a balanced binary tree?,A balanced binary tree is a binary tree in which the heights of the left and right subtrees differ by at most one.,"Balanced binary trees, such as AVL trees or red-black trees, ensure efficient operations and avoid worst-case scenarios in terms of time complexity.",The heights of the left and right subtrees can only differ by one in a balanced binary tree.,"When the heights of the left and right subtrees differ by no more than one, the binary tree is said to be balanced.",Any binary tree that has height differences between the left and right subtrees of no more than one is said to be balanced.,Easy,A tree where everything's almost the same height.
What is a heap?,"A heap is a complete binary tree that satisfies the heap property, which can be either a min-heap or a max-heap.",Heaps are often used in priority queues and efficient sorting algorithms such as heapsort. They can be implemented using arrays or binary trees.,"A heap, which might be a min-heap or a max-heap, is a complete binary tree that meets the heap property.","An entire binary tree that meets the heap property is referred to as a heap, and it can either be a min-heap or a max-heap.","Depending on whether it is a min-heap or a max-heap, a heap is a fully-functional binary tree that satisfies the heap property.",Easy,A special tree that keeps the most important thing on top.
What is a hash table?,"A hash table is a data structure that uses hash functions to map keys to values, allowing constant-time average case retrieval.","Hash tables offer efficient insertion, deletion, and lookup operations. They are widely used for fast data retrieval and are implemented using arrays or dynamic arrays.",A hash table is a type of data structure that use hash functions to map keys to values and enable retrieval of the average case in constant time.,"A hash table is a type of data structure that maps keys to values using hash functions, enabling retrieval of the average case in constant time.","It is possible to retrieve the average case in constant time by using a data structure called a hash table, which employs hash functions to map keys to values.",Easy,A table that helps you find stuff quickly using a secret code.
What is a hash function?,A hash function is a function that takes an input (or key) and computes a fixed-size numerical value (or hash code) that represents the input.,Hash functions are designed to distribute the keys uniformly across the available hash table slots to minimize collisions and ensure efficient data retrieval.,A hash function is a mathematical operation that converts an input (or key) into a fixed-size numerical value (or hash code) that serves as the input's representation.,Hash functions create a fixed-size numerical value (or hash code) that serves as the input's representation by taking an input (or key) as input.,A hash function is a function that takes an input (or key) and generates a fixed-size numerical value (or hash code) that serves as the input's representation.,Easy,A math trick that turns data into a secret code.
What is collision handling in hash tables?,Collision handling refers to the techniques used to deal with situations where two or more keys produce the same hash code in a hash table.,Common collision handling techniques include chaining (using linked lists or other data structures to store collided elements) and open addressing (probing for alternative slots).,Collision handling is the term used to describe methods for handling circumstances in which two or more keys generate the same hash code in a hash table.,"When two or more keys generate the same hash code in a hash table, collision handling refers to the methods employed to handle the problem.","When two or more keys create the same hash code in a hash table, the process known as collision handling is utilised to handle the situation.",Easy,"When two things get the same secret code, it's like a puzzle, and we need to solve it."
What is the time complexity of inserting and retrieving elements in a hash table on average?,The average time complexity of inserting and retrieving elements in a hash table is O(1).,Hash tables offer constant-time average case complexity for insertion and retrieval operations when collisions are handled efficiently.,A hash table's insertion and retrieving operations typically have an O(1) time complexity.,"In a hash table, inserting and removing members has an O(1) time complexity on average.",Inserting and removing items from a hash table takes an average of O(1) time.,Easy,Hash table: Insert: Quick and constant time. Retrieve: Also quick and constant time.
What is a graph?,A graph is a non-linear data structure composed of a set of vertices (nodes) connected by edges.,Graphs are used to represent relationships between objects. They can be directed (edges have a specific direction) or undirected (edges have no direction).,A graph is a non-linear data structure made up of a collection of vertices (also known as nodes) linked together by edges.,"A graph is a non-linear data structure made up of nodes (vertices) and their connections, or edges.","A set of vertices (nodes) joined by edges make up a graph, which is a non-linear data structure.",Easy,Graph: A structure with nodes and connections.
What is a directed acyclic graph (DAG)?,"A directed acyclic graph is a directed graph that contains no directed cycles, meaning there are no paths that lead back to a vertex itself.","DAGs are used in various applications like topological sorting, task scheduling, and representing dependencies between tasks.","There are no pathways that go back to the vertex itself in a directed acyclic graph, which is a directed graph devoid of directed cycles.","A directed acyclic graph is a directed graph with no directed cycles, i.e., no paths that circle back around to the vertex itself.","There are no pathways that go back to a vertex itself in a directed acyclic network, which means it does not contain any directed cycles.",Easy,Directed Acyclic Graph (DAG): A graph with one-way connections and no loops.
What is a breadth-first search (BFS)?,"Breadth-first search is a graph traversal algorithm that explores all the vertices of a graph in breadth-first order, visiting all neighbors before moving to the next level.",BFS is commonly used to find the shortest path between two vertices in an unweighted graph and to explore the graph in a systematic way.,"A graph traversal algorithm known as breadth-first search searches every vertex in a graph in breadth-first order, stopping at every vertex's neighbours before continuing to the next level.","The breadth-first search algorithm traverses a graph by exploring each vertex in turn, stopping at each vertex's neighbours before continuing on to the next level.","A graph traversal algorithm known as breadth-first search searches all of the vertices of a graph in breadth-first order, visiting all neighbours before advancing to the next level.",Easy,Breadth-First Search (BFS): Visiting neighbors before neighbors' neighbors.
What is a depth-first search (DFS)?,Depth-first search is a graph traversal algorithm that explores as far as possible along each branch before backtracking.,"DFS is commonly used to explore all paths in a graph, detect cycles, and perform graph-based algorithms like connected components and spanning trees.",A graph traversal algorithm known as depth-first search investigates as much of each branch as feasible before turning around.,A graph traversal algorithm called depth-first search goes as far as it can along each branch before turning around.,"A graph traversal technique known as ""depth-first search"" explores each branch as far as it can go before turning around.",Easy,Depth-First Search (DFS): Going deep before exploring other branches.
What is the time complexity of breadth-first search (BFS) and depth-first search (DFS) in a graph with V vertices and E edges?,Both BFS and DFS have a time complexity of O(V + E).,"BFS and DFS visit each vertex and edge once, resulting in a linear time complexity with respect to the number of vertices and edges in the graph.",The time complexity of BFS and DFS is O(V + E).,A time complexity of O(V + E) applies to both BFS and DFS.,A temporal complexity of O(V + E) can be found for both BFS and DFS.,Easy,Time complexity for BFS and DFS: Both take time proportional to the number of vertices and edges in the graph.
What is a spanning tree?, A spanning tree is a subgraph of a connected graph that includes all the vertices and is a tree (no cycles)., Spanning trees are used to represent the minimum set of edges required to reach all vertices in a connected graph without forming cycles.,A spanning tree is a linked graph subgraph that contains every vertex and is a tree (no cycles).,A connected graph's spanning tree is a subgraph of the graph that contains all of the vertices and is a tree (no cycles).,A subgraph of a connected graph known as a spanning tree has all the vertices of the original graph and is a tree (without cycles).,Easy,Spanning Tree: A tree connecting all graph nodes without loops.
What is a minimum spanning tree (MST)?,A minimum spanning tree is a spanning tree of a weighted graph with the minimum possible total weight.,"Minimum spanning trees are often found using algorithms like Prim's algorithm or Kruskal's algorithm, which aim to connect all vertices with minimum edge weights.",A weighted graph's spanning tree with the lowest feasible total weight is referred to as a minimum spanning tree.,A spanning tree of a weighted graph with the least amount of total weight is referred to as a minimum spanning tree.,A spanning tree with the least amount of overall weight feasible is referred to as a minimum spanning tree.,Easy,Minimum Spanning Tree (MST): A spanning tree with the smallest total edge weights.
What is the difference between a breadth-first search (BFS) and a depth-first search (DFS) in a graph?,"BFS explores all neighbors of a vertex before moving to the next level, while DFS explores as far as possible along each branch before backtracking.","BFS ensures that all vertices at a certain level are visited before moving to the next level, while DFS explores a single branch as deeply as possible before exploring other branches.","Before progressing to the next level, BFS explores every vertex's neighbours, whereas DFS travels as far as it can along each branch before turning around.","BFS investigates every vertex's neighbours before going up a level, whereas DFS investigates as far as it can go along each branch before going back.","Unlike DFS, which explores as far as it can along each branch before turning around, BFS explores every neighbour of a vertex before going to the next level.",Easy,"BFS vs. DFS: BFS explores neighbors first, DFS digs deep into branches."
What is Dijkstra's algorithm?,Dijkstra's algorithm is a graph search algorithm used to find the shortest path between a source vertex and all other vertices in a weighted graph., Dijkstra's algorithm is based on the greedy approach and uses a priority queue to iteratively select the vertices with the shortest distance from the source.,"In a weighted graph, the shortest path between a source vertex and all other vertices is found using Dijkstra's method, a graph search algorithm.","In a weighted graph, the shortest path between a source vertex and all other vertices is determined using the Dijkstra algorithm.","The shortest route between a source vertex and all other vertices in a weighted graph is found using Dijkstra's algorithm, a graph search algorithm.",Easy,Dijkstra's Algorithm finds the shortest path in a graph with non-negative edge weights.
What is the time complexity of Dijkstra's algorithm in a graph with V vertices and E edges?,The time complexity of Dijkstra's algorithm is O((V + E) log V) when using a binary heap as the priority queue.,"Dijkstra's algorithm visits each vertex and edge once and performs extract-min operations on the priority queue, resulting in the specified time complexity.","When a binary heap is used as the priority queue, Dijkstra's algorithm has an O((V + E) log V) time complexity.","When a binary heap is used as the priority queue, Dijkstra's algorithm has a temporal complexity of O((V + E) log V).",Using a binary heap as the priority queue reduces the Dijkstra algorithm's time complexity to O((V + E) log V)).,Easy,Dijkstra's algorithm time complexity depends on V and E.
What is the difference between a linear search and a binary search?,"A linear search scans through all elements sequentially until it finds the target value, while a binary search divides the search space in half at each step.","Binary search is generally more efficient than linear search, especially for large sorted arrays, as it eliminates half of the remaining search space at each iteration.","A binary search divides the search space in half at each step, whereas a linear search sequentially scans over all items until it locates the desired value.","While a binary search divides the search space in half at each step, a linear search goes through each element one by one until it locates the desired value.","A binary search divides the search space in half at each step, whereas a linear search iteratively scans through each element until it locates the desired value.",Easy,"Linear search vs. binary search: Linear reads like a book, binary divides in half."
What is a divide-and-conquer algorithm?,"A divide-and-conquer algorithm breaks down a problem into smaller subproblems, solves them recursively, and combines the solutions to form the final result.","Divide-and-conquer algorithms reduce complex problems into simpler subproblems, making them easier to solve and analyze.","A divide-and-conquer algorithm divides a problem into smaller subproblems, recursively solves each of them, and then combines the results to produce the desired result.","A divide-and-conquer method divides a problem into more manageable subproblems, resolves them iteratively, and then combines the results to produce the desired result.","A divide-and-conquer algorithm splits a problem into smaller subproblems, resolves them iteratively, and then combines the results to produce the desired result.",Easy,Divide-and-conquer algorithm - Solve big problems by breaking into smaller ones.
What is the time complexity of the binary search algorithm on a sorted array with n elements?,The time complexity of the binary search algorithm is O(log n).,"Binary search divides the search space in half at each step, resulting in a logarithmic time complexity for finding an element in a sorted array.",The binary search algorithm has an O(log n) time complexity.,The binary search method has a temporal complexity of O(log n).,Binary search algorithms are O(log n) in terms of their temporal complexity.,Easy,Binary search time complexity: O(log n) for sorted list of n items.
What is a recursive function?,A recursive function is a function that calls itself directly or indirectly to solve a smaller subproblem.,"Recursive functions simplify the problem-solving process by breaking down complex problems into smaller, more manageable subproblems.",Recursive functions solve smaller subproblems by either directly or indirectly calling themselves.,A recursive function is one that repeatedly invokes itself to address smaller subproblems.,"When solving a smaller subproblem, a recursive function either directly or indirectly calls itself.",Easy,Recursive function: Function that calls itself for problem-solving.
What is the base case in recursive functions?,The base case is a condition in a recursive function that specifies when the recursion should terminate and the function should start returning values.,"The base case ensures that the recursion stops and prevents infinite recursion, providing the final result for the smallest subproblems.","When a recursive function should stop recursing and begin returning values, the base case condition determines when this should happen.","In a recursive function, the base case is a condition that indicates when to stop the recursion and begin returning values.",The base case is a condition that indicates when a recursive function should stop recursing and begin returning values.,Easy,Base case in recursive functions: Rule to stop using recursion.
What is memoization in dynamic programming?,Memoization is a technique where the results of expensive function calls are stored and reused to avoid redundant computations.,Memoization can significantly improve the performance of recursive algorithms by eliminating redundant function calls and caching their results.,"In order to prevent repeating calculations, memory is a strategy where the outcomes of pricey function calls are saved and reused.",Memorization is a method for avoiding unnecessary calculations by storing and reusing the outcomes of pricey function calls.,"In order to save time and prevent unnecessary computations, memory is a mechanism that stores and reuses the results of expensive function calls.",Easy,Memoization in dynamic programming: Save and reuse answers to avoid repeating work.
What is a greedy algorithm?,A greedy algorithm is an algorithmic paradigm that follows the problem-solving heuristic of making locally optimal choices at each stage with the hope of finding a global optimum.,"Greedy algorithms make decisions based on the best available choice at the current step without considering the entire problem, which may or may not lead to an optimal solution.",An algorithmic paradigm known as a greedy algorithm adopts the problem-solving heuristic of making locally optimal decisions at each stage in the pursuit of a global optimum.,The problem-solving heuristic of making locally optimal decisions at each stage in the pursuit of a global optimum is known as the greedy algorithm.,An algorithmic paradigm known as a greedy algorithm adopts the problem-solving heuristic of selecting solutions that are locally optimal at each stage in the hopes of locating a global optimum.,Easy,Greedy algorithm: Always pick the best choice at each step.
