Question,Answer,Explanation,Paraphrase 1,Paraphrase 2,Paraphrase 3,Difficulty Level,Hint
What is a process in an operating system?,A process is an executing program that has its own memory space and resources allocated by the operating system.,"A process represents a running program in an operating system. It consists of the program's code, data, and execution context, and it is managed by the operating system to ensure proper utilization of resources.",A process is a program running with allocated resources and memory space.,It is an executing instance of a program managed by the OS.,A process is a running program with its own memory and resources.,Easy,"Think of a process as a ""cooking recipe,"" where the OS ensures each recipe (process) gets its turn in the kitchen (CPU)."
What is the role of the process identifier (PID) in process management?,"The process identifier (PID) is a unique numeric identifier assigned to each process by the operating system, allowing it to track and manage individual processes.","The PID serves as a unique identifier for each process running in the operating system. It enables the operating system to differentiate between processes, track their state, allocate resources, and manage process-related activities.",The PID is a unique number assigned to each process for identification.,It helps the OS track and manage individual processes.,Process identifiers (PIDs) distinguish and identify processes in the operating system.,Easy,"PIDs are like ""unique employee ID badges"" that help the manager (OS) identify and manage each worker (process)."
What is a process control block (PCB)?,"A process control block (PCB) is a data structure that stores information about a process, including its current state, priority, and resource usage.","The PCB is a vital data structure maintained by the operating system for each process. It contains essential details needed to manage and control the process, such as the program counter, registers, and process state information.","The PCB holds information about a process, including its state and resource usage.",It stores key data about a process for efficient management.,A process control block contains process-related information for the OS to control the process.,Easy,"A PCB is like a ""job sheet"" that contains all the details about a task or project (process), helping the project manager (OS) oversee progress."
What is process synchronization?,Process synchronization is a mechanism used to coordinate the execution of multiple processes to avoid conflicts and ensure orderly access to shared resources.,"Process synchronization involves techniques like locks, semaphores, and mutual exclusion to prevent race conditions and maintain data consistency when multiple processes access shared resources concurrently.",Process synchronization ensures coordinated execution and resource access.,It helps avoid conflicts and maintains order among concurrent processes.,Synchronization techniques ensure orderly access to shared resources.,Easy,"Process synchronization is like ""traffic lights"" at an intersection, ensuring that vehicles (processes) take turns to avoid collisions."
What is process communication?,Process communication is the mechanism through which processes exchange data and information with each other.,"Process communication enables processes to share data, send messages, and collaborate in a coordinated manner. It can be achieved through various methods like shared memory, message passing, and pipes.",Process communication facilitates data exchange among processes.,It allows processes to share information and collaborate.,Processes communicate with each other to share data and messages.,Easy,"Process communication is like ""conversations"" between co-workers, where they share information and collaborate to complete a project."
"What is First-Come, First-Served (FCFS) scheduling?","First-Come, First-Served (FCFS) scheduling is a non-preemptive scheduling algorithm where the process that arrives first is allocated the CPU first.","In FCFS scheduling, processes are executed in the order they arrive, forming a queue. The first process that enters the queue gets the CPU first and continues until it completes, allowing subsequent processes to run.",FCFS scheduling gives priority to the first process that arrives.,"It follows a sequential order, executing processes in the order they arrive.",The process that arrives first is allocated the CPU first in FCFS scheduling.,Easy,"FCFS scheduling is like a ""queue at a ticket counter,"" where people are served in the order they arrive."
What is Round Robin (RR) scheduling?,Round Robin (RR) scheduling is a preemptive scheduling algorithm where each process is given a fixed time slice or quantum to execute before being moved to the back of the queue.,"In Round Robin scheduling, processes are executed in a cyclic manner, with each process getting a fixed time quantum to run. If a process does not complete within the time quantum, it is preempted and moved to the end of the queue, allowing other processes to run.",Round Robin scheduling assigns a fixed time slice to each process.,It allows each process to execute for a specific time before switching.,RR scheduling rotates processes in a cyclic order with a fixed time quantum.,Easy,"Round Robin scheduling is similar to ""serving dishes at a potluck dinner,"" where everyone gets a turn before going back for seconds."
What is Shortest Job Next (SJN) scheduling?,Shortest Job Next (SJN) scheduling is a non-preemptive scheduling algorithm where the process with the smallest burst time is selected for execution first.,SJN scheduling aims to minimize the average waiting time by selecting the process with the shortest burst time from the ready queue. It requires knowledge of the burst time of each process in advance.,SJN scheduling chooses the process with the shortest burst time first.,It prioritizes processes based on their execution time for minimum waiting.,The process with the smallest burst time gets executed first in SJN scheduling.,Easy,"SJN scheduling is akin to ""choosing the shortest line at the grocery store checkout to minimize waiting time."
What is Priority scheduling?,"Priority scheduling is a scheduling algorithm where each process is assigned a priority value, and the process with the highest priority is given the CPU first.","In priority scheduling, processes are assigned priorities that determine their execution order. The process with the highest priority gets the CPU first, and if two processes have the same priority, FCFS is applied as a tie-breaker.",Priority scheduling assigns priorities to processes for execution.,It gives the CPU to the process with the highest priority.,The process with the highest priority is scheduled first in priority scheduling.,Easy,"Priority scheduling is like a ""VIP line"" at an event, where important guests (high-priority processes) get preferential treatment."
What is the purpose of the ready queue in process scheduling?,The ready queue is a data structure that holds processes that are ready and waiting for CPU execution.,The ready queue acts as a temporary holding area for processes that are waiting for CPU time. It enables the operating system to efficiently select the next process for execution based on scheduling algorithms and priority levels.,The ready queue holds processes waiting for CPU execution.,It helps the OS determine the next process to run efficiently.,The purpose of the ready queue is to manage and prioritize processes ready for execution.,Easy,"The ready queue is like a ""waiting room"" for processes, where they wait for their appointment (turn) to meet the CPU."
What is Interprocess Communication (IPC)?,Interprocess Communication (IPC) refers to the mechanisms that allow processes to exchange data and synchronize their actions.,"IPC enables processes running on the same or different systems to communicate and share information. It provides methods for processes to exchange data, signals, or messages, and synchronize their activities.",IPC facilitates communication and synchronization between processes.,It enables data exchange and coordination among processes.,IPC allows processes to share information and coordinate actions.,Easy,"IPC is like ""team meetings"" in a company, where employees (processes) exchange information to work together effectively."
What is a shared memory?,"Shared memory is a region of memory that can be accessed by multiple processes, allowing them to share data efficiently.","Shared memory provides a way for processes to communicate by mapping a portion of memory into their address space. Multiple processes can read from and write to the shared memory region, enabling efficient data sharing.",Shared memory allows efficient data sharing among processes.,It enables processes to access a common memory region.,Multiple processes can read from and write to shared memory.,Easy,"Shared memory is like a ""whiteboard"" where colleagues (processes) write and read notes to collaborate on a project."
What is a mutex?,A mutex (mutual exclusion) is a synchronization primitive that allows only one process at a time to access a shared resource or a critical section.,"A mutex acts as a lock to protect shared resources from simultaneous access by multiple processes. It ensures that only one process can acquire the mutex and enter the critical section, while other processes wait until the mutex is released.",A mutex provides exclusive access to shared resources.,It allows only one process to enter a critical section at a time.,Processes acquire and release the mutex to control access.,Easy,"A mutex is like a ""conference room key,"" ensuring exclusive access to a room for meetings, just like exclusive access to a shared resource."
What is message passing in interprocess communication?,Message passing is a communication mechanism where processes exchange data by sending and receiving messages.,"Message passing involves processes sending and receiving messages to communicate with each other. Processes can send messages containing data or instructions to other processes, which then receive and process those messages. This mechanism allows for communication and coordination between processes in a distributed system.",Message passing involves sending and receiving messages between processes.,Processes communicate by exchanging messages containing data or instructions.,It enables coordination and communication in distributed systems.,Easy,Message passing is like sending letters between colleagues; processes communicate by sending and receiving messages to share data and synchronize.
What is a critical section in interprocess communication?,A critical section refers to a portion of code or a shared resource that must be accessed by processes in a mutually exclusive manner.,"A critical section is a part of the code or a shared resource that should only be accessed by one process at a time to avoid race conditions or data inconsistencies. Processes need to follow synchronization techniques, such as using mutexes or semaphores, to ensure mutually exclusive access to critical sections.",A critical section is a code or shared resource requiring exclusive access.,Processes must access critical sections in a mutually exclusive manner.,Synchronization mechanisms are used to control access to critical sections.,Easy,"A critical section is like a secured vault; it's a code segment where a process accesses shared resources, and mutual exclusion ensures only one process can enter at a time."
What are the necessary conditions for a deadlock to occur?,"The necessary conditions for a deadlock are mutual exclusion, hold and wait, no preemption, and circular wait.","Deadlock requires four conditions to be present simultaneously. Mutual exclusion means resources cannot be shared, hold and wait means a process holds a resource while waiting for others, no preemption means resources cannot be forcibly taken, and circular wait means a circular chain of processes holding resources.","Deadlock requires mutual exclusion, hold and wait, no preemption, and circular wait.","It occurs when resources cannot be shared, processes hold resources while waiting, preemption is not allowed, and circular dependencies exist.","Deadlock happens when all necessary conditions, including mutual exclusion, hold and wait, no preemption, and circular wait, are met.",Easy,"Deadlocks are like traffic jams; for one to happen, you need mutual exclusion, hold and wait, no preemption, and circular wait."
What is resource allocation graph in deadlock detection?,A resource allocation graph is a visual representation that helps detect and analyze resource allocation and potential deadlocks in a system.,"A resource allocation graph uses nodes to represent processes and resources, and directed edges to represent the allocation and request relationships. By analyzing the graph, it is possible to identify cycles (deadlocks) and determine if a system is in a safe or unsafe state.",A resource allocation graph visually represents resource allocation and deadlock potential.,It helps identify cycles and analyze the safety of the system.,Resource allocation graphs aid in detecting and analyzing potential deadlocks.,Easy,Resource allocation graphs are like flowcharts for resources; they help visualize and detect deadlocks by representing resource allocation and process requests.
What is a resource in the context of deadlock and resource management?,"A resource refers to any entity that a process needs to complete its execution, such as memory, files, or devices.","Resources are entities required by processes to perform their tasks. They can be physical, such as a printer or memory, or logical, such as a file or a software component. Proper management of resources is crucial to avoid deadlocks and ensure efficient utilization.",Resources are entities needed by processes for execution.,Proper resource management prevents deadlocks and ensures efficiency.,"They can be physical or logical, such as devices or files.",Easy,"Resources are like tools in a workshop; they can be physical (e.g., printers) or virtual (e.g., file locks) and are allocated to processes."
What is resource allocation in the context of deadlock and resource management?,Resource allocation refers to the act of assigning resources to processes based on their needs and availability.,"Resource allocation involves granting processes access to resources they require to perform their tasks. It ensures that resources are utilized efficiently and effectively, avoiding deadlocks by carefully managing resource dependencies and conflicts.",Resource allocation assigns resources to processes based on their needs.,It ensures efficient utilization of resources and prevents deadlocks.,The act of allocating resources to processes based on availability and requirements.,Easy,"Resource allocation is like lending tools; it's the process of assigning resources to processes, and it needs to be managed to avoid deadlocks."
What is resource serialization in the context of deadlock and resource management?,Resource serialization refers to the concept of allowing only one process at a time to access a shared resource.,"Resource serialization ensures that shared resources are accessed by processes in a mutually exclusive manner. By allowing only one process to use a resource at a time, conflicts and potential deadlocks arising from simultaneous access are avoided.",Resource serialization ensures exclusive access to shared resources.,It allows only one process to use a resource at a time.,Serialization prevents conflicts and potential deadlocks.,Easy,"Resource serialization is like waiting in line; it ensures that resources are accessed one at a time, preventing concurrent access and potential deadlocks."
What is memory management?,Memory management is the process of controlling and organizing computer memory to efficiently allocate and deallocate memory space for processes.,"Memory management involves managing the primary memory (RAM) of a computer system. It includes tasks such as tracking available memory, allocating memory to processes, and freeing memory when it is no longer needed.",Memory management controls and organizes computer memory for efficient use.,It involves allocating and deallocating memory space for processes.,The process of managing and optimizing computer memory.,Easy,"Memory management is like organizing a library; it involves allocating, tracking, and freeing memory to ensure efficient use and prevent conflicts."
What is virtual memory?,Virtual memory is a memory management technique that allows processes to use more memory than what is physically available by utilizing disk space as an extension of RAM.,"Virtual memory provides an illusion of a larger memory space to processes by using a combination of RAM and disk storage. It allows processes to access memory beyond the physical limitations of RAM, enhancing system performance and enabling efficient memory allocation.",It creates an illusion of larger memory than physically available.,Memory technique utilizing RAM and disk storage.,Virtual memory expands available memory using disk space.,Easy,"Virtual memory is like an extension of physical memory; it uses disk storage to create an illusion of more RAM, allowing larger applications to run."
What is a page fault in virtual memory?,A page fault occurs when a requested page of data is not present in physical memory and needs to be loaded from disk.,"When a process requests data that is not currently stored in physical memory, a page fault occurs. The operating system then retrieves the required page from disk and loads it into RAM to satisfy the process's request.",A page fault happens when data is not in physical memory and needs to be loaded from disk.,It occurs when a requested page is not present in memory.,When data needs to be fetched from disk due to its absence in RAM.,Easy,"A page fault is like searching for a missing book; it occurs when a requested memory page is not in physical RAM, leading to a disk retrieval."
What is fragmentation in memory management?,"Fragmentation refers to the division of memory into small, non-contiguous blocks, resulting in inefficient memory utilization.","Fragmentation can occur in memory due to processes being allocated memory blocks of varying sizes, leading to empty gaps between allocated blocks. This division of memory into small fragments reduces overall memory efficiency and can result in wastage of memory space.",Fragmentation is the division of memory into non-contiguous blocks.,It leads to inefficient memory utilization.,Memory division causing wastage and reduced efficiency.,Easy,Fragmentation is like arranging puzzle pieces; it can be internal (within a process) or external (between processes) and leads to inefficient memory usage.
What is the role of a page table in virtual memory?,A page table is a data structure used by the operating system to map virtual addresses to their corresponding physical addresses in memory.,"The page table acts as a translation mechanism between virtual addresses used by processes and their physical addresses in RAM. It keeps track of the mappings, allowing the operating system to efficiently translate virtual memory accesses to the correct physical locations.",A page table maps virtual addresses to physical addresses.,It enables translation between virtual and physical memory.,Data structure for efficient address translation.,Easy,"A page table is like a library index; it maps virtual addresses to physical addresses, enabling the OS to access the right data in physical memory."
What is a file system?,"A file system is a method used by operating systems to organize and store files on a storage device, such as a hard disk.","A file system provides a structured way to store, retrieve, and manage files on a storage medium. It defines the structure and organization of files, directories, and metadata, enabling efficient file storage and retrieval operations.",A file system organizes and stores files on a storage device.,It structures file storage and retrieval operations.,Method for managing files and directories.,Easy,A file system is like an organized filing cabinet; it provides structure and methods for storing and managing files on storage devices.
What is a directory?,A directory is a container used to organize and group related files and other directories within a file system.,"A directory, also known as a folder, acts as a logical container to organize files and directories hierarchically. It helps users and the operating system locate and manage files by providing a hierarchical structure, making file organization and navigation more efficient.",A directory organizes related files and directories.,It provides a hierarchical structure for file organization.,Container for grouping files and directories.,Easy,A directory is like a labeled drawer in the filing cabinet; it's a container for organizing and grouping related files in a file system.
What is a file path? ,"A file path is a string that specifies the location of a file within a file system, including the directory hierarchy and filename.","A file path represents the route to a file, starting from the root directory and traversing through the directory hierarchy to reach the specific file. It provides a unique identifier for locating and accessing files within a file system.",A file path specifies the location of a file within a file system.,It includes the directory hierarchy and filename.,String identifier for file location.,Easy,A file path is like giving directions to a location; it's a string that specifies the location of a file or directory within the file system.
What is fragmentation in disk management?,"Fragmentation refers to the scattering of file data across non-contiguous blocks on a storage device, leading to inefficient disk utilization.","Fragmentation occurs when files are stored in non-contiguous blocks on a disk. This division of file data increases disk access time, as the read/write heads need to move between different areas of the disk to retrieve a complete file. Defragmentation is a process that reorganizes file data to eliminate fragmentation and improve disk performance.",Fragmentation scatters file data across non-contiguous blocks on a disk.,It leads to inefficient disk utilization and increased access time.,File data division causing performance degradation.,Easy,"Fragmentation in disk management is like scattered puzzle pieces; it occurs when files are stored in non-contiguous blocks, leading to slower access times."
What is a file attribute?,"A file attribute is a metadata associated with a file that provides additional information about the file, such as its size, permissions, creation/modification timestamps, and file type.","File attributes contain important information about a file, including its size, ownership, permissions, timestamps, and other properties. These attributes help the operating system manage and enforce access control, track file changes, and determine file characteristics.",File attributes provide metadata about a file.,"They include size, permissions, timestamps, and file type.",Information about a file's properties.,Easy,"A file attribute is like a book's metadata; it includes information about a file, such as its name, size, creation date, and permissions."
What is an I/O system?,An I/O system is a component of an operating system that manages the input and output operations between the computer and external devices.,"An I/O system handles communication between the computer and various peripheral devices, such as keyboards, monitors, disks, and network interfaces. It ensures efficient data transfer and provides an interface for applications to interact with the external devices.",An I/O system manages computer communication with external devices.,It facilitates data transfer between the computer and peripherals.,Component responsible for input and output operations.,Easy,"An I/O system is like a post office; it manages input and output operations, handling data transfers between the computer and external devices."
What is the purpose of device drivers?,Device drivers are software components that enable the operating system to communicate with specific hardware devices and control their operation.,"Device drivers act as intermediaries between the operating system and hardware devices. They provide a standardized interface that allows the operating system to send commands, retrieve data, and manage the device's functionalities. Device drivers play a crucial role in ensuring compatibility and efficient utilization of hardware resources.",Device drivers enable communication between the OS and hardware devices.,They provide a standardized interface for device control.,Software components for managing hardware devices.,Easy,Device drivers are like translators; they enable the OS to communicate with hardware devices by providing the necessary software interface.
What is polling in I/O systems?,Polling is a method used by I/O systems to check the status of devices periodically to determine if they are ready for data transfer.,"In polling, the operating system regularly checks the status of devices to see if they are ready to send or receive data. This approach involves continuously querying devices, which can be inefficient as it consumes CPU cycles. However, it is simple to implement and suitable for devices with predictable response times.",Polling checks device status for data transfer readiness.,It involves periodic device querying by the OS.,Method for determining device availability.,Easy,Polling in I/O systems is like repeatedly checking your mailbox; the OS regularly queries devices to see if they have data ready for processing.
What are interrupts in I/O systems?,Interrupts are signals generated by hardware devices to gain the attention of the processor and notify the operating system that an event or data transfer has occurred.,"When a hardware device completes an operation or requires attention, it sends an interrupt signal to the processor. The interrupt prompts the operating system to temporarily halt the current program and handle the device request. Interrupt-driven I/O allows for efficient utilization of CPU resources and enables devices to asynchronously communicate with the processor.",Interrupts notify the processor about device events.,They interrupt the current program for device handling.,Signals for asynchronous device communication.,Easy,"Interrupts are like raising a flag; they are signals sent by devices to notify the CPU that they require immediate attention, allowing efficient handling of I/O operations."
What is buffering in I/O systems?,Buffering is a technique used in I/O systems to temporarily store data between the input or output devices and the main memory.,Buffering helps in improving the efficiency of I/O operations by reducing the frequency of data transfers between devices and the main memory. It involves using a dedicated portion of memory as a buffer to hold data while it is being read from or written to devices. Buffering smoothens the flow of data and minimizes the impact of speed disparities between devices and the memory.,Buffering temporarily stores data between devices and memory.,It improves efficiency by reducing data transfer frequency.,Technique for data flow optimization.,Easy,Buffering is like a storage area; it involves temporarily holding data in memory before or after I/O operations to improve efficiency.
What is an interrupt?,An interrupt is a signal generated by hardware devices to interrupt the normal execution of the CPU and request immediate attention.,"When a hardware device needs to communicate with the CPU or inform it about an event, it sends an interrupt signal. This interrupts the CPU's current task and transfers control to the interrupt handler routine, which can handle the device's request or event.",Interrupts interrupt CPU execution for device communication.,They trigger interrupt handler routines.,Signals for immediate attention.,Easy,An interrupt is like an urgent message; it's a signal sent to the CPU to interrupt its current task and handle a specific event or condition.
What is a device controller?,A device controller is a hardware component responsible for managing the operation and control of a specific hardware device.,"The device controller acts as the interface between the device and the computer system. It handles low-level operations, such as sending and receiving data, controlling device functions, and managing device-specific protocols.",Device controllers manage device operations and control.,They act as intermediaries between devices and the system.,Hardware component for device management.,Easy,"A device controller is like a manager for a device; it's a hardware component that interfaces with a specific device, controlling its operations."
What is plug and play?,Plug and play refers to the ability of an operating system to automatically detect and configure newly connected hardware devices without requiring user intervention.,"With plug and play, when a new device is connected, the operating system identifies the device, loads the necessary device drivers, and configures the device for use, all without user involvement. This simplifies the process of adding new hardware to a system",Plug and play enables automatic device detection and configuration.,It eliminates the need for manual driver installation.,Feature for seamless device integration.,Easy,"Plug and play is like automatic device setup; it allows devices to be connected or removed without manual configuration, with the OS handling the recognition and installation process."
What is an interrupt handler?,An interrupt handler is a software routine that is executed when an interrupt occurs to handle the interrupt request and perform necessary actions.,"When an interrupt occurs, the interrupt handler routine is responsible for identifying the interrupt source, processing the interrupt, and taking appropriate actions, such as retrieving data from devices or responding to device events.",Interrupt handlers handle interrupt requests.,They process interrupt events and perform necessary actions.,Software routines for interrupt handling.,Easy,An interrupt handler is like a responder to alarms; it's a software routine that manages and responds to hardware or software interrupts in the system.
What is the purpose of an interrupt vector?,An interrupt vector is a table or array in the operating system that contains the addresses of interrupt handlers associated with specific interrupt types.,"The interrupt vector allows the operating system to quickly locate the appropriate interrupt handler for a given interrupt type. When an interrupt occurs, the system uses the interrupt vector to determine the memory address of the corresponding interrupt handler routine.",Interrupt vectors store addresses of interrupt handlers.,They help locate the correct handler for each interrupt.,Table/array for mapping interrupts to handlers.,Easy,The purpose of an interrupt vector is like a phone directory for the CPU; it helps the CPU locate and execute the appropriate interrupt service routine to handle hardware or software events.
What is the goal of operating system security?,"The goal of operating system security is to protect the system against unauthorized access, ensure data confidentiality, integrity, and availability, and prevent malicious activities.","Operating system security measures are implemented to safeguard the system from unauthorized users, malware, and various types of attacks. It includes mechanisms such as access control, encryption, authentication, and auditing to protect the system and its resources.",The aim is to prevent unauthorized access and protect data.,Security measures ensure system integrity and confidentiality.,Goal of safeguarding the operating system.,Easy,"The goal of operating system security is like safeguarding a fortress; it aims to protect the computer system and its data from unauthorized access, breaches, and threats."
What is the principle of least privilege?,"The principle of least privilege states that users and processes should only be given the minimum privileges necessary to perform their tasks, reducing the potential impact of a security breach.","By following the principle of least privilege, access rights and permissions are assigned based on the specific needs and responsibilities of users or processes. This limits the potential damage that can be caused by an attacker or a compromised user account.",Users should have minimal privileges for security.,Access rights should be based on task requirements.,Principle to limit the impact of security breaches.,Easy,"The principle of least privilege is like a restricted-access building; it grants users or processes only the minimum permissions needed to perform their tasks, reducing potential security risks."
What is user authentication?,User authentication is the process of verifying the identity of a user attempting to access a system or resource.,"User authentication involves confirming the validity of user credentials, such as usernames and passwords, before granting access to the system. It is a crucial security measure to ensure that only authorized users are granted access to sensitive information and resources.",User authentication verifies user identity for access.,It involves confirming user credentials.,Process of validating user identity.,Easy,User authentication is like verifying your identity at a secure entrance; it's the process of confirming a user's identity before granting access to a system or application.
What is an access control list (ACL)?,An access control list is a mechanism that defines permissions and access rights for users or groups on a system or resource.,"An access control list specifies which users or groups are allowed or denied access to specific files, directories, or system resources. It provides granular control over who can perform certain operations and helps enforce security policies.",Access control lists manage permissions and access rights.,They define user/group access to resources.,Mechanism for specifying access permissions.,Easy,"An access control list (ACL) is like a guest list at an event; it's a list of permissions associated with an object, specifying who can access or modify it in a system or network."
What is the purpose of antivirus software?,"Antivirus software is designed to detect, prevent, and remove malicious software, such as viruses, worms, and Trojan horses, from a computer system.","Antivirus software scans files, programs, and system memory for known patterns or behaviors associated with malware. It helps protect the system from infections, minimizes the risk of data loss or corruption, and ensures the overall security of the operating system.",Antivirus software detects and removes malware.,It protects the system from infections.,Purpose is to ensure system security.,Easy,"The purpose of antivirus software is like a security guard for your computer; it's designed to detect, quarantine, and remove or prevent malware, viruses, and other threats to your system."
What is a distributed operating system?,A distributed operating system is an operating system that runs on multiple machines and enables them to work together as a single system.,"A distributed operating system allows multiple computers or nodes to collaborate and share resources, such as memory, storage, and processing power. It provides transparency and coordination mechanisms to ensure efficient and reliable communication among the distributed components",Distributed OS runs on multiple machines for collaboration.,It enables sharing of resources across nodes.,Operating system for distributed computing.,Easy,A distributed operating system is like coordinating a team across different locations; it manages a network of interconnected computers to provide a unified and efficient computing environment.
What is the purpose of remote procedure call (RPC)?,"Remote procedure call is a mechanism that allows a program running on one machine to invoke a procedure on a remote machine, as if it were a local procedure call.","RPC enables communication between processes running on different machines in a distributed system. By abstracting the underlying network details, RPC makes it easier to develop distributed applications that can transparently invoke procedures or functions on remote machines.",RPC allows calling remote procedures as local calls.,It simplifies distributed application development.,Mechanism for invoking procedures on remote machines.,Easy,The purpose of remote procedure call (RPC) is like making long-distance phone calls for tasks; it allows processes on one system to invoke procedures or functions on remote systems as if they were local.
What is data replication in a distributed system? ,"Data replication is the process of creating and maintaining multiple copies of data across different nodes in a distributed system for improved availability, fault tolerance, and performance.","Data replication ensures that data is redundantly stored across multiple nodes to enhance data availability and reliability. It allows for faster access to data by locating replicas closer to the requesting node, reducing network latency.",Data replication creates multiple copies for reliability.,It improves data availability and performance.,Process of maintaining redundant data copies.,Easy,"Data replication in a distributed system is like creating backups; it involves copying data to multiple locations to ensure data availability, fault tolerance, and improved access times."
What is fault tolerance in a distributed system?,Fault tolerance is the ability of a distributed system to continue functioning properly even in the presence of component failures or network disruptions.,"Fault tolerance mechanisms in distributed systems aim to detect, tolerate, and recover from failures to ensure uninterrupted operation. These mechanisms include redundancy, replication, error detection, and error recovery techniques.",Fault tolerance enables system resilience to failures.,It ensures uninterrupted system operation.,Ability to withstand component failures.,Easy,Fault tolerance in a distributed system is like a safety net; it's the system's ability to continue functioning even in the presence of hardware or software failures or errors.
What is distributed file system?,A distributed file system is a file system that spans multiple machines and allows access to files stored on remote nodes as if they were local files.,"Distributed file systems provide a unified view of files and directories distributed across multiple machines. They manage file access, replication, consistency, and caching to provide transparent and efficient file sharing in a distributed environment.",Distributed file system spans multiple machines.,It provides unified access to remote files.,File sharing across a distributed environment.,Easy,"A distributed file system is like a shared, global library; it allows users to access and manage files stored on different computers as if they were all in one place."
